code,system
020400040BDAAAA,bnf
0204000E0BCACAB,bnf
0204000E0BCAEAG,bnf
0205010N0BBABAB,bnf
0204000K0AAANAN,bnf
0205051L0BEABAB,bnf
0205051S0AAABAB,bnf
0205052ACBBABAB,bnf
0206020A0BBAAAA,bnf
0205052ACAAABAB,bnf
0205051F0AAAIAI,bnf
0202040C0BGAAAA,bnf
0206020F0BEAAAB,bnf
0204000H0BGAAAA,bnf
0204000Q0AAABAB,bnf
0205040S0AAAEAE,bnf
0206020F0BDAAAB,bnf
0205051R0BCABAC,bnf
0205051Q0BCAAAA,bnf
0206020F0BHAAAB,bnf
0206020F0BFAAAB,bnf
0206020A0AAALAL,bnf
0204000X0AAABAB,bnf
0206020A0AAAUAU,bnf
0202030C0BFAAAS,bnf
0206020Z0AAABAB,bnf
0205052ABBBABAB,bnf
0206020F0BIAAAB,bnf
0202030C0AAAXAX,bnf
0205051Z0BBAAAA,bnf
0205051Q0AAAAAA,bnf
0205040M0AAAPAP,bnf
0202030S0AACVCV,bnf
0206020A0AAACAC,bnf
0205051I0AABYBY,bnf
0202030S0AAECEC,bnf
0204000H0BJAAAA,bnf
0205040V0AAACAC,bnf
0204000X0AAAAAA,bnf
0205052I0AAAAAA,bnf
0204000R0AACWCW,bnf
0206020F0BIAEAB,bnf
0202010B0BFAAAC,bnf
0205051R0AAAEAE,bnf
0205052I0BEAAAA,bnf
0204000Q0BCAAAB,bnf
0205051L0AAAQAQ,bnf
0202040B0BDAAAA,bnf
0205051Y0BBABAB,bnf
0205040V0BBACAC,bnf
0206020F0AAAHAH,bnf
0204000H0BCAAAA,bnf
0206020F0BJAAAB,bnf
0202010B0AAAQAQ,bnf
0205051L0AAABAB,bnf
0206020R0AABRBR,bnf
0202040B0BCAAAA,bnf
0204000K0BBACAA,bnf
0206020Z0BBABAB,bnf
0204000H0BFADAA,bnf
0206020F0BGAAAB,bnf
0206020R0AABMBM,bnf
0204000P0BBAAAA,bnf
0202030C0AAACAC,bnf
0204000R0BVAACW,bnf
0205051L0AAANAN,bnf
0202040D0BBAAAA,bnf
0205051F0AAEAEA,bnf
0206020F0BBAAAB,bnf
0205051R0BBAHAM,bnf
0202040B0BHAAAA,bnf
0205010J0AAA7A7,bnf
0202030C0AAASAS,bnf
0202030S0AACMCM,bnf
0205051I0BBABAB,bnf
0204000H0AABGBG,bnf
0206020A0BFAAAA,bnf
0205052I0BDAAAA,bnf
0206020Z0AAAAAA,bnf
0205051E0AAAEAE,bnf
0205051F0BCAFCT,bnf
0205052I0BBAAAA,bnf
0202040C0AAACAC,bnf
0205051L0BCABAB,bnf
0205040S0BCACAE,bnf
0205052ACBBADAD,bnf
0205051L0AAAGAG,bnf
0205010J0AAA6A6,bnf
0202040C0BDAAAA,bnf
0205052ABAAABAB,bnf
0205051F0AABNBN,bnf
0205051I0AABZBZ,bnf
0206020A0AAAAAA,bnf
0206020Z0BBAAAA,bnf
